date,place,section,subject,time,title,url
29 сентября 2016 года,,Новости,Внешняя политика,18:45,Телефонный разговор с Федеральным канцлером Германии Ангелой Меркель,http://kremlin.ru/catalog/keywords/82/events/52990
30 сентября 2016 года,,Новости,Внешняя политика,15:20,Поздравление с Днём независимости Абхазии,http://kremlin.ru/catalog/keywords/82/events/52997
1 октября 2016 года,,Новости,Внешняя политика,12:00,Поздравление Председателю КНР Си Цзиньпину по случаю 67-й годовщины образования Китайской Народной Республики,http://kremlin.ru/catalog/keywords/82/events/53002
,,"Новости, Анонсы",Внешняя политика,,4 октября состоится визит Владимира Путина в Казахстан,http://kremlin.ru/catalog/keywords/82/events/53006
6 сентября 2016 года,Москва,Администрация Президента,Внешняя политика,16:00,Антон Фёдоров встретился с делегацией Организационного отдела ЦК Компартии Китая,http://kremlin.ru/catalog/keywords/82/events/52850
6 сентября 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,20:15,Встреча с Королём Бахрейна Хамадом Бен Исой Аль Халифой,http://kremlin.ru/catalog/keywords/82/events/52842
8 сентября 2016 года,,Новости,Внешняя политика,22:40,Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/52860
9 сентября 2016 года,,Новости,Внешняя политика,12:30,Поздравление Президенту Таджикистана Эмомали Рахмону с 25-летием провозглашения независимости страны,http://kremlin.ru/catalog/keywords/82/events/52865
,,"Новости, Анонсы","Внешняя политика, СНГ",,16 сентября Владимир Путин примет участие в заседании Совета глав государств – участников СНГ,http://kremlin.ru/catalog/keywords/82/events/52887
2 сентября 2016 года,Владивосток,"Новости, Выступления и стенограммы",Внешняя политика,11:40,Встреча с Премьер-министром Японии Синдзо Абэ,http://kremlin.ru/catalog/keywords/82/events/52803
2 сентября 2016 года,,Новости,Внешняя политика,20:15,Соболезнования в связи с кончиной Президента Узбекистана Ислама Каримова,http://kremlin.ru/catalog/keywords/82/events/52805
3 сентября 2016 года,остров Русский,"Новости, Выступления и стенограммы",Внешняя политика,11:20,Встреча с Президентом Республики Корея Пак Кын Хе,http://kremlin.ru/catalog/keywords/82/events/52809
3 сентября 2016 года,Ханчжоу,Новости,"Внешняя политика, Экономика и финансы",17:45,Владимир Путин прибыл в Китай,http://kremlin.ru/catalog/keywords/82/events/52815
3 сентября 2016 года,Ханчжоу,"Новости, Выступления и стенограммы","«Большая двадцатка», Внешняя политика",18:35,Встреча с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/52816
9 августа 2016 года,,Новости,Внешняя политика,21:50,Телефонный разговор с Премьер-министром Великобритании Терезой Мэй,http://kremlin.ru/catalog/keywords/82/events/52676
10 августа 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Энергетика",13:35,Церемония передачи Индии первого энергоблока АЭС «Куданкулам»,http://kremlin.ru/catalog/keywords/82/events/52679
10 августа 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:40,Встреча с Президентом Армении Сержем Саргсяном,http://kremlin.ru/catalog/keywords/82/events/52683
10 августа 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:30,Пресс-конференция по итогам переговоров с Президентом Армении Сержем Саргсяном,http://kremlin.ru/catalog/keywords/82/events/52684
,,"Новости, Анонсы",Внешняя политика,,16 августа Владимир Путин встретится с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/52706
25 июля 2016 года,,Новости,Внешняя политика,12:00,Приветствие главам государств и правительств стран – членов Лиги арабских государств,http://kremlin.ru/catalog/keywords/82/events/52580
26 июля 2016 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность, Спорт",14:15,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/52583
,,"Новости, Анонсы",Внешняя политика,,30 июля Владимир Путин посетит Словению с рабочим визитом,http://kremlin.ru/catalog/keywords/82/events/52589
28 июля 2016 года,,"Новости, Документы",Внешняя политика,13:30,Михаил Зурабов освобождён от обязанностей посла России на Украине,http://kremlin.ru/catalog/keywords/82/events/52611
30 июля 2016 года,"Краньска-Гора, перевал Вршич","Новости, Выступления и стенограммы",Внешняя политика,17:30,100-летие русской часовни у перевала Вршич,http://kremlin.ru/catalog/keywords/82/events/52621
4 июля 2016 года,,Документы,"Внешняя политика, Промышленность, Энергетика",16:50,"Подписан закон о ратификации российско-вьетнамского Межправсоглашения о дальнейшем сотрудничестве в области геологической разведки, добычи нефти и газа",http://kremlin.ru/catalog/keywords/82/events/52338
4 июля 2016 года,,Документы,"Внешняя политика, Налоги",17:10,Подписан закон о ратификации Межправсоглашения России и Специального административного района Гонконг КНР об избежании двойного налогообложения и предотвращении уклонения от налогообложения,http://kremlin.ru/catalog/keywords/82/events/52342
5 июля 2016 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Спорт, Экономика и финансы",12:50,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/52418
6 июля 2016 года,,Новости,Внешняя политика,13:00,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/52481
6 июля 2016 года,,Новости,Внешняя политика,21:00,Телефонный разговор с Президентом США Бараком Обамой,http://kremlin.ru/catalog/keywords/82/events/52484
25 июня 2016 года,Пекин,Выступления и стенограммы,Внешняя политика,11:50,Начало встречи с Председателем Китайской Народной Республики Си Цзиньпином,http://kremlin.ru/catalog/keywords/82/events/52271
25 июня 2016 года,Пекин,Выступления и стенограммы,Внешняя политика,13:20,Начало российско-китайских переговоров в расширенном составе,http://kremlin.ru/catalog/keywords/82/events/52272
25 июня 2016 года,Пекин,"Новости, Выступления и стенограммы",Внешняя политика,15:20,Заявления для прессы по итогам российско-китайских переговоров,http://kremlin.ru/catalog/keywords/82/events/52273
25 июня 2016 года,Пекин,Выступления и стенограммы,Внешняя политика,15:50,"Выступление на торжественном мероприятии по случаю 15-летия подписания Договора о добрососедстве, дружбе и сотрудничестве между Российской Федерацией и Китайской Народной Республикой",http://kremlin.ru/catalog/keywords/82/events/52274
25 июня 2016 года,Пекин,Новости,Внешняя политика,16:00,Российско-китайские переговоры,http://kremlin.ru/catalog/keywords/82/events/52269
21 июня 2016 года,,Новости,Внешняя политика,16:50,Телефонный разговор с Премьер-министром Израиля Биньямином Нетаньяху,http://kremlin.ru/catalog/keywords/82/events/52196
22 июня 2016 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность",13:50,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/52200
22 июня 2016 года,"Москва, Кремль",Новости,Внешняя политика,19:25,Встреча с Хосе Марией Аснаром,http://kremlin.ru/catalog/keywords/82/events/52203
23 июня 2016 года,Санкт-Петербург,"Новости, Выступления и стенограммы","Внешняя политика, СМИ",10:00,Интервью китайскому информационному агентству «Синьхуа»,http://kremlin.ru/catalog/keywords/82/events/52204
23 июня 2016 года,Ташкент,Новости,"Внешняя политика, ШОС",14:35,Владимир Путин прибыл в Ташкент,http://kremlin.ru/catalog/keywords/82/events/52205
8 июня 2016 года,Минск,"Новости, Выступления и стенограммы","Внешняя политика, Регионы",18:10,III Форум регионов России и Белоруссии,http://kremlin.ru/catalog/keywords/82/events/52129
8 июня 2016 года,Минск,Новости,"Внешняя политика, Сельское хозяйство",19:10,Посещение выставки «Белагро-2016»,http://kremlin.ru/catalog/keywords/82/events/52130
8 июня 2016 года,"Зарубежный визит, 3 события",Поездки,Внешняя политика,,Визит в Республику Беларусь. Форум регионов России и Белоруссии,http://kremlin.ru/catalog/keywords/82/events/52131
9 июня 2016 года,,Новости,Внешняя политика,17:30,Телефонный разговор с Президентом Аргентины Маурисио Макри,http://kremlin.ru/catalog/keywords/82/events/52136
11 июня 2016 года,,Новости,Внешняя политика,12:05,Поздравление Королеве Соединённого Королевства Великобритании и Северной Ирландии Елизавете II с Днём рождения,http://kremlin.ru/catalog/keywords/82/events/52139
27 мая 2016 года,Афины,"Новости, Выступления и стенограммы",Внешняя политика,23:20,Российско-греческие переговоры,http://kremlin.ru/catalog/keywords/82/events/52023
27 мая 2016 года,Афины,"Новости, Выступления и стенограммы",Внешняя политика,23:30,Совместная пресс-конференция с Премьер-министром Греции Алексисом Ципрасом,http://kremlin.ru/catalog/keywords/82/events/52024
28 мая 2016 года,Афины,"Новости, Выступления и стенограммы",Внешняя политика,00:50,Встреча с председателем партии «Новая демократия» Кириакосом Мицотакисом,http://kremlin.ru/catalog/keywords/82/events/52027
28 мая 2016 года,,Новости,Внешняя политика,12:05,Поздравление Президенту Азербайджана с Днём Республики,http://kremlin.ru/catalog/keywords/82/events/52028
30 мая 2016 года,,Новости,Внешняя политика,16:45,Телефонные разговоры с Президентом Греции Прокописом Павлопулосом и Премьер-министром Греции Алексисом Ципрасом,http://kremlin.ru/catalog/keywords/82/events/52042
19 мая 2016 года,Сочи,"Новости, Выступления и стенограммы","Внешняя политика, Россия–АСЕАН",13:45,Встреча с Султаном Государства Бруней-Даруссалам Хассаналом Болкиахом,http://kremlin.ru/catalog/keywords/82/events/51940
19 мая 2016 года,Сочи,"Новости, Выступления и стенограммы","Внешняя политика, Россия–АСЕАН",14:30,Беседа с Премьер-министром Королевства Таиланд Праютом Чан-Очой,http://kremlin.ru/catalog/keywords/82/events/51941
19 мая 2016 года,Сочи,"Новости, Выступления и стенограммы","Внешняя политика, Россия–АСЕАН",15:15,Встреча с Премьер-министром Камбоджи Хун Сеном,http://kremlin.ru/catalog/keywords/82/events/51942
19 мая 2016 года,Сочи,"Новости, Выступления и стенограммы","Внешняя политика, Россия–АСЕАН",16:00,Встреча с Премьер-министром Малайзии Наджибом Разаком,http://kremlin.ru/catalog/keywords/82/events/51943
19 мая 2016 года,Сочи,"Новости, Выступления и стенограммы","Внешняя политика, Россия–АСЕАН",16:45,Встреча с Премьер-министром Вьетнама Нгуен Суан Фуком,http://kremlin.ru/catalog/keywords/82/events/51944
26 апреля 2016 года,,Новости,Внешняя политика,17:45,Телефонный разговор с Президентом Словении Борутом Пахором,http://kremlin.ru/catalog/keywords/82/events/51809
,,"Новости, Анонсы",Внешняя политика,,6 мая состоится встреча Президента России с Премьер-министром Японии Синдзо Абэ,http://kremlin.ru/catalog/keywords/82/events/51832
2 мая 2016 года,,Документы,Внешняя политика,09:00,"Распоряжение о подписании Договора между Россией и Узбекистаном о передаче лиц, осуждённых к лишению свободы",http://kremlin.ru/catalog/keywords/82/events/51846
2 мая 2016 года,,Документы,"Внешняя политика, Национальная безопасность",09:15,Распоряжение о подписании Протокола о внесении изменений в Соглашение между Россией и Белоруссией о совместной охране внешней границы Союзного государства в воздушном пространстве и создании Единой региональной системы противовоздушной обороны,http://kremlin.ru/catalog/keywords/82/events/51847
2 мая 2016 года,,Документы,"Внешняя политика, Вооружённые Силы, Здравоохранение",09:30,Подписан закон о ратификации российско-южноосетинского межправительственного соглашения о медицинской помощи военнослужащим,http://kremlin.ru/catalog/keywords/82/events/51848
16 апреля 2016 года,,Новости,Внешняя политика,12:30,Соболезнования Премьер-министру Японии Синдзо Абэ,http://kremlin.ru/catalog/keywords/82/events/51729
17 апреля 2016 года,,Новости,Внешняя политика,12:45,Соболезнования Президенту Эквадора Рафаэлю Корреа,http://kremlin.ru/catalog/keywords/82/events/51732
18 апреля 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,13:45,Встреча с Президентом Государства Палестина Махмудом Аббасом,http://kremlin.ru/catalog/keywords/82/events/51735
18 апреля 2016 года,,Новости,Внешняя политика,20:00,Телефонный разговор с Президентом США Бараком Обамой,http://kremlin.ru/catalog/keywords/82/events/51738
18 апреля 2016 года,,Новости,Внешняя политика,22:10,Телефонный разговор с Президентом Украины Петром Порошенко,http://kremlin.ru/catalog/keywords/82/events/51740
28 марта 2016 года,,Новости,"Борьба с терроризмом, Внешняя политика",13:30,Телефонный разговор с Президентом Ирана Хасаном Рухани,http://kremlin.ru/catalog/keywords/82/events/51577
28 марта 2016 года,"Москва, Кремль","Новости, Совет Безопасности","Борьба с терроризмом, Внешняя политика",17:25,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/51582
31 марта 2016 года,"Московская область, Ново-Огарёво","Новости, Выступления и стенограммы",Внешняя политика,15:10,Встреча с Президентом Южной Осетии Леонидом Тибиловым,http://kremlin.ru/catalog/keywords/82/events/51617
,,"Новости, Анонсы",Внешняя политика,,6 апреля Владимир Путин встретится с Президентом Австрии Хайнцем Фишером,http://kremlin.ru/catalog/keywords/82/events/51624
1 апреля 2016 года,"Москва, Кремль",Новости,Внешняя политика,14:55,Встреча с бывшим председателем Совета министров Ливана Саадом Харири,http://kremlin.ru/catalog/keywords/82/events/51627
15 марта 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:10,Встреча с Королём Марокко Мухаммедом VI,http://kremlin.ru/catalog/keywords/82/events/51516
16 марта 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,17:15,Встреча с Президентом Израиля Реувеном Ривлином,http://kremlin.ru/catalog/keywords/82/events/51523
17 марта 2016 года,"Москва, Кремль",Новости,Внешняя политика,20:10,Встреча с Романо Проди,http://kremlin.ru/catalog/keywords/82/events/51531
19 марта 2016 года,,Документы,Внешняя политика,13:30,В Госдуму на ратификацию внесён Договор между Россией и Южной Осетией о государственной границе,http://kremlin.ru/catalog/keywords/82/events/51539
21 марта 2016 года,,Администрация Президента,Внешняя политика,09:00,24–25 марта Сергей Иванов посетит Китай,http://kremlin.ru/catalog/keywords/82/events/51541
25 февраля 2016 года,Минск,"Новости, Выступления и стенограммы",Внешняя политика,19:35,Заявления для прессы по итогам заседания Высшего Госсовета Союзного государства России и Белоруссии,http://kremlin.ru/catalog/keywords/82/events/51392
26 февраля 2016 года,,Новости,Внешняя политика,18:50,Телефонный разговор с Президентом Азербайджана Ильхамом Алиевым,http://kremlin.ru/catalog/keywords/82/events/51399
2 марта 2016 года,,Документы,"Внешняя политика, ВТО, Таможня",14:20,Подписан закон о принятии Протокола о внесении изменений в Марракешское соглашение об учреждении ВТО,http://kremlin.ru/catalog/keywords/82/events/51433
2 марта 2016 года,,Документы,"Внешняя политика, Правопорядок",14:30,"Подписан закон о ратификации Договора между Россией и Южной Осетией о передаче для отбывания наказания лиц, осуждённых к лишению свободы",http://kremlin.ru/catalog/keywords/82/events/51435
2 марта 2016 года,,Документы,Внешняя политика,14:50,"Подписан закон о ратификации Соглашения между правительствами России и Непала об урегулировании взаимных финансовых обязательств, связанных с операциями бывшего СССР",http://kremlin.ru/catalog/keywords/82/events/51430
15 февраля 2016 года,,Документы,"Внешняя политика, Правопорядок",15:25,Подписан закон о ратификации Договора между Россией и Арабскими Эмиратами о выдаче,http://kremlin.ru/catalog/keywords/82/events/51315
15 февраля 2016 года,,Документы,Внешняя политика,15:30,Подписан закон о ратификации Договора между Россией и Арабскими Эмиратами о правовой помощи по уголовным делам,http://kremlin.ru/catalog/keywords/82/events/51316
15 февраля 2016 года,,Документы,Внешняя политика,15:40,Внесены изменения в закон о военно-техническом сотрудничестве с иностранными государствами,http://kremlin.ru/catalog/keywords/82/events/51325
15 февраля 2016 года,,Документы,Внешняя политика,16:35,Подписан закон о ратификации Договора между Россией и Казахстаном о порядке использования лётно-испытательного центра Минобороны России на территории Республики Казахстан,http://kremlin.ru/catalog/keywords/82/events/51336
17 февраля 2016 года,"Московская область, Ново-Огарёво",Новости,Внешняя политика,17:50,Встреча с Премьер-министром Венгрии Виктором Орбаном,http://kremlin.ru/catalog/keywords/82/events/51348
31 января 2016 года,,Документы,"Внешняя политика, Государственные финансы",17:00,Подписан закон о ратификации соглашения об урегулировании финансовых обязательств Монголии перед Россией,http://kremlin.ru/catalog/keywords/82/events/51241
31 января 2016 года,,Документы,"Внешняя политика, ЕАЭС, Здравоохранение",17:15,"Подписан закон о ратификации соглашения, направленного на формирование общего рынка обращения медицинских изделий в рамках Евразийского экономического союза",http://kremlin.ru/catalog/keywords/82/events/51242
31 января 2016 года,,Документы,"Внешняя политика, ЕАЭС, Здравоохранение",17:30,Подписан закон о ратификации соглашения об унификации законодательства в сфере обращения лекарственных средств и их контроля в рамках Евразийского экономического союза,http://kremlin.ru/catalog/keywords/82/events/51243
31 января 2016 года,,Документы,"Внешняя политика, Налоги",17:45,Подписан закон о ратификации соглашения и протокола между Россией и Китаем об устранении двойного налогообложения,http://kremlin.ru/catalog/keywords/82/events/51244
1 февраля 2016 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, ЕАЭС",15:00,Встреча с Виктором Христенко,http://kremlin.ru/catalog/keywords/82/events/51247
30 декабря 2015 года,,Документы,"Внешняя политика, ВТО, ЕАЭС",17:20,Подписан закон о ратификации Протокола о вопросах ввоза и обращения товаров на таможенной территории ЕАЭС,http://kremlin.ru/catalog/keywords/82/events/51116
30 декабря 2015 года,,Документы,Внешняя политика,17:20,Подписан закон о ратификации Договора между Россией и Южной Осетией о правовой помощи по уголовным делам,http://kremlin.ru/catalog/keywords/82/events/51114
1 января 2016 года,,Документы,"Внешняя политика, Транспорт",14:00,Указ о мерах по обеспечению экономической безопасности и национальных интересов России при транзитных перевозках грузов с Украины в Казахстан через территорию Российской Федерации,http://kremlin.ru/catalog/keywords/82/events/51134
5 января 2016 года,,Новости,Внешняя политика,17:00,Телефонный разговор с Президентом Финляндии Саули Ниинистё,http://kremlin.ru/catalog/keywords/82/events/51144
8 января 2016 года,,Новости,Внешняя политика,14:00,Телефонный разговор с премьер-министром Италии Маттео Ренци,http://kremlin.ru/catalog/keywords/82/events/51151
22 декабря 2015 года,Москва,"Новости, Выступления и стенограммы","Внешняя политика, Информационное общество, Наука и инновации",15:20,Встреча с представителями отечественной IT-отрасли,http://kremlin.ru/catalog/keywords/82/events/50997
22 декабря 2015 года,,Новости,Внешняя политика,18:00,Телефонный разговор с Премьер-министром Израиля Биньямином Нетаньяху,http://kremlin.ru/catalog/keywords/82/events/50996
23 декабря 2015 года,"Москва, Кремль",Новости,Внешняя политика,20:25,Неформальная встреча с Премьер-министром Индии Нарендрой Моди,http://kremlin.ru/catalog/keywords/82/events/51004
24 декабря 2015 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,19:15,Российско-индийские переговоры,http://kremlin.ru/catalog/keywords/82/events/51008
24 декабря 2015 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,19:20,Заявления для прессы по итогам российско-индийских переговоров,http://kremlin.ru/catalog/keywords/82/events/51011
4 декабря 2015 года,,Документы,Внешняя политика,18:10,"Президент внёс в Госдуму законопроект о ратификации Договора между Россией и Аргентиной о передаче лиц, осуждённых к лишению свободы",http://kremlin.ru/catalog/keywords/82/events/50870
4 декабря 2015 года,,Новости,"Борьба с терроризмом, Внешняя политика",18:25,Телефонный разговор с Президентом Казахстана Нурсултаном Назарбаевым,http://kremlin.ru/catalog/keywords/82/events/50871
8 декабря 2015 года,"Москва, Кремль","Новости, Выступления и стенограммы","Борьба с терроризмом, Внешняя политика",22:35,Встреча с главой Минобороны Сергеем Шойгу,http://kremlin.ru/catalog/keywords/82/events/50892
9 декабря 2015 года,,Новости,"Борьба с терроризмом, Внешняя политика",13:20,Телефонный разговор с Премьер-министром Великобритании Дэвидом Кэмероном,http://kremlin.ru/catalog/keywords/82/events/50894
,,"Новости, Анонсы",Внешняя политика,,15 декабря состоятся российско-белорусские переговоры,http://kremlin.ru/catalog/keywords/82/events/50914
26 ноября 2015 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,14:00,Вручение верительных грамот Президенту России,http://kremlin.ru/catalog/keywords/82/events/50786
26 ноября 2015 года,"Москва, Кремль",Новости,"Борьба с терроризмом, Внешняя политика",22:20,Встреча с Президентом Франции Франсуа Олландом,http://kremlin.ru/catalog/keywords/82/events/50790
26 ноября 2015 года,"Москва, Кремль",Выступления и стенограммы,Внешняя политика,22:30,Заявления для прессы и ответы на вопросы журналистов по итогам встречи с Президентом Франции Франсуа Олландом,http://kremlin.ru/catalog/keywords/82/events/50792
27 ноября 2015 года,"Московская область, Ново-Огарёво","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность, Правоохранительные органы",13:00,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/50795
28 ноября 2015 года,,Документы,Внешняя политика,15:00,"Подписан закон о проставлении апостиля на российских официальных документах, подлежащих вывозу за пределы России",http://kremlin.ru/catalog/keywords/82/events/50815
18 ноября 2015 года,,Новости,"Борьба с терроризмом, Внешняя политика",15:10,Телефонный разговор с Наследным принцем Абу-Даби Мухаммедом Аль Нахайяном,http://kremlin.ru/catalog/keywords/82/events/50721
,,"Новости, Анонсы","Внешняя политика, Энергетика",,Президент России посетит с рабочим визитом Иран,http://kremlin.ru/catalog/keywords/82/events/50736
21 ноября 2015 года,,Новости,Внешняя политика,11:30,Соболезнования Президенту Республики Мали Ибрагиму Бубакару Кейте,http://kremlin.ru/catalog/keywords/82/events/50738
23 ноября 2015 года,,Документы,Внешняя политика,11:00,В Госдуму на ратификацию внесено российско-кыргызстанское Соглашение о порядке пребывания граждан,http://kremlin.ru/catalog/keywords/82/events/50744
,,"Новости, Анонсы",Внешняя политика,,В Сочи состоятся переговоры Владимира Путина с Королём Иордании Абдаллой II,http://kremlin.ru/catalog/keywords/82/events/50743
14 ноября 2015 года,,Новости,Внешняя политика,12:10,Поздравление Президенту Узбекистана по случаю десятилетия со дня подписания союзнического договора,http://kremlin.ru/catalog/keywords/82/events/50688
14 ноября 2015 года,,Документы,Внешняя политика,20:00,В Госдуму на ратификацию внесён Договор между Россией и Арабскими Эмиратами о выдаче,http://kremlin.ru/catalog/keywords/82/events/50696
14 ноября 2015 года,,Документы,Внешняя политика,20:10,В Госдуму на ратификацию внесён Договор между Россией и Арабскими Эмиратами о правовой помощи по уголовным делам,http://kremlin.ru/catalog/keywords/82/events/50699
15 ноября 2015 года,Анталья,"Новости, Выступления и стенограммы","Борьба с терроризмом, Внешняя политика",12:40,Неформальная встреча лидеров стран БРИКС,http://kremlin.ru/catalog/keywords/82/events/50689
15 ноября 2015 года,Анталья,Новости,"«Большая двадцатка», Внешняя политика",19:40,Саммит «Группы двадцати»,http://kremlin.ru/catalog/keywords/82/events/50690
4 ноября 2015 года,,Документы,Внешняя политика,14:45,Подписан закон о юрисдикционных иммунитетах иностранного государства и его имущества в России,http://kremlin.ru/catalog/keywords/82/events/50624
4 ноября 2015 года,,Документы,Внешняя политика,14:50,"Подписан закон о порядке обмена сведениями о гражданах России и Белоруссии, в отношении которых действуют ограничения на выезд",http://kremlin.ru/catalog/keywords/82/events/50625
4 ноября 2015 года,,Документы,Внешняя политика,15:00,Подписан закон о ратификации Соглашения между Россией и Белоруссией о взаимном признании и исполнении решений об отказе во въезде на территорию государств – участников Соглашения,http://kremlin.ru/catalog/keywords/82/events/50626
4 ноября 2015 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Культура",15:50,В Кремле вручены госнаграды России иностранным гражданам,http://kremlin.ru/catalog/keywords/82/events/50627
4 ноября 2015 года,,Документы,"Внешняя политика, Культура, Соотечественники",19:00,Концепция «Русская школа за рубежом»,http://kremlin.ru/catalog/keywords/82/events/50643
27 октября 2015 года,,Новости,Внешняя политика,12:15,Поздравление Президенту Туркменистана с Днём независимости,http://kremlin.ru/catalog/keywords/82/events/50565
27 октября 2015 года,,Новости,Внешняя политика,12:30,Соболезнования руководству Афганистана и Пакистана,http://kremlin.ru/catalog/keywords/82/events/50566
27 октября 2015 года,,Документы,Внешняя политика,19:00,Подписан закон о ратификации соглашения между Россией и Белоруссией о сотрудничестве в области военной фельдъегерско-почтовой связи,http://kremlin.ru/catalog/keywords/82/events/50574
28 октября 2015 года,"Московская область, Ново-Огарёво","Новости, Выступления и стенограммы","Борьба с терроризмом, Внешняя политика, Национальная безопасность, СНГ",15:15,Встреча с представителями органов безопасности и спецслужб государств – участников СНГ,http://kremlin.ru/catalog/keywords/82/events/50579
28 октября 2015 года,"Московская область, Ново-Огарёво","Новости, Выступления и стенограммы",Внешняя политика,19:20,"Встреча с вице-канцлером, министром экономики и энергетики ФРГ Зигмаром Габриэлем",http://kremlin.ru/catalog/keywords/82/events/50582
14 октября 2015 года,Казахстан,Новости,Внешняя политика,18:50,Владимир Путин прибыл в Астану,http://kremlin.ru/catalog/keywords/82/events/50505
15 октября 2015 года,Астана,Новости,Внешняя политика,11:20,Государственный визит в Казахстан,http://kremlin.ru/catalog/keywords/82/events/50507
15 октября 2015 года,,Документы,Внешняя политика,11:40,В Госдуму на ратификацию внесён Договор между Россией и Аргентиной о правовой помощи по уголовным делам,http://kremlin.ru/catalog/keywords/82/events/50510
16 октября 2015 года,Боровое,"Новости, Выступления и стенограммы",Внешняя политика,10:40,Заседание Совета глав государств СНГ,http://kremlin.ru/catalog/keywords/82/events/50515
16 октября 2015 года,Боровое,"Новости, Выступления и стенограммы",Внешняя политика,11:00,Встреча с Президентом Белоруссии Александром Лукашенко,http://kremlin.ru/catalog/keywords/82/events/50516
2 октября 2015 года,"Зарубежный визит, 4 события",Поездки,Внешняя политика,,Визит во Францию. Переговоры в «нормандском формате»,http://kremlin.ru/catalog/keywords/82/events/50425
3 октября 2015 года,,Новости,Внешняя политика,12:00,Поздравление руководству ФРГ с Днём германского единства,http://kremlin.ru/catalog/keywords/82/events/50424
6 октября 2015 года,Приветствия,Телеграммы,"Внешняя политика, Экономика и финансы",11:00,Участникам и гостям Международного форума «Евразийская экономическая перспектива»,http://kremlin.ru/catalog/keywords/82/events/50436
6 октября 2015 года,Сочи,"Новости, Выступления и стенограммы",Внешняя политика,15:45,Встреча с Премьер-министром Люксембурга Ксавье Беттелем,http://kremlin.ru/catalog/keywords/82/events/50438
6 октября 2015 года,,Документы,"Внешняя политика, СНГ",18:20,Подписан закон о ратификации соглашения между Россией и СНГ об условиях пребывания Секретариата Координационного совета генеральных прокуроров государств – участников СНГ на территории России,http://kremlin.ru/catalog/keywords/82/events/50450
28 сентября 2015 года,Нью-Йорк,Новости,Внешняя политика,21:00,Встреча с Премьер-министром Ирака Хайдаром Абади,http://kremlin.ru/catalog/keywords/82/events/50389
28 сентября 2015 года,Нью-Йорк,Новости,"Внешняя политика, ООН, Россия–НАТО",22:10,Владимир Путин провёл ряд встреч на полях сессии Генассамблеи ООН,http://kremlin.ru/catalog/keywords/82/events/50390
28 сентября 2015 года,Нью-Йорк,"Новости, Выступления и стенограммы",Внешняя политика,22:45,Встреча с Президентом Ирана Хасаном Рухани,http://kremlin.ru/catalog/keywords/82/events/50391
