date,place,section,subject,time,title,url
,,"Новости, Анонсы",Внешняя политика,,16 марта Владимир Путин примет верительные грамоты у послов иностранных государств,http://kremlin.ru/catalog/keywords/82/events/54045
15 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,16:00,Заявления для прессы по окончании российско-армянских переговоров,http://kremlin.ru/catalog/keywords/82/events/54046
15 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,16:00,Встреча с Президентом Армении Сержем Саргсяном,http://kremlin.ru/catalog/keywords/82/events/54043
16 марта 2017 года,,"Новости, Выступления и стенограммы",Внешняя политика,14:00,Вручение верительных грамот Президенту России,http://kremlin.ru/catalog/keywords/82/events/54049
16 марта 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:00,Встреча с премьер-министром Баварии Хорстом Зеехофером,http://kremlin.ru/catalog/keywords/82/events/54052
31 мая 2017 года,,Новости,"Борьба с терроризмом, Внешняя политика",09:00,Министр обороны доложил Президенту об успешном проведении пусков ракет по объектам террористов в Сирии,http://kremlin.ru/catalog/keywords/82/events/54639
6 апреля 2017 года,Поздравления,Телеграммы,Внешняя политика,10:00,"Игорю Додону, Президенту Республики Молдова",http://kremlin.ru/catalog/keywords/82/events/54231
31 мая 2017 года,,"Новости, Документы",Внешняя политика,12:10,Указ об отмене некоторых специальных экономических мер в отношении Турции,http://kremlin.ru/catalog/keywords/82/events/54640
31 марта 2017 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Вооружённые Силы, Национальная безопасность",13:00,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/54159
17 марта 2017 года,"Москва, Кремль","Новости, Совет Безопасности","Внешняя политика, Национальная безопасность",13:30,Совещание с постоянными членами Совета Безопасности,http://kremlin.ru/catalog/keywords/82/events/54057
23 февраля 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы","Внешняя политика, Вооружённые Силы, Спорт",17:30,Встреча с главами делегаций государств – участников III зимних Всемирных военных игр,http://kremlin.ru/catalog/keywords/82/events/53941
7 февраля 2017 года,,Документы,"Внешняя политика, Энергетика",18:40,Подписан закон о ратификации межправсоглашения между Россией и Турцией по проекту газопровода «Турецкий поток»,http://kremlin.ru/catalog/keywords/82/events/53824
7 февраля 2017 года,,Документы,"Внешняя политика, Правопорядок",18:45,Подписан закон о ратификации Договора между Россией и Абхазией о передаче осуждённых к лишению свободы,http://kremlin.ru/catalog/keywords/82/events/53827
9 февраля 2017 года,,Новости,"Внешняя политика, СМИ",09:00,Поздравление коллективу редакции и читателям газеты La Stampa,http://kremlin.ru/catalog/keywords/82/events/53841
,,"Новости, Анонсы",Внешняя политика,,10 февраля состоятся переговоры Владимира Путина с Президентом Словении Борутом Пахором,http://kremlin.ru/catalog/keywords/82/events/53843
9 февраля 2017 года,,Новости,"Борьба с терроризмом, Внешняя политика",17:30,Телефонный разговор с Президентом Турции Реджепом Тайипом Эрдоганом,http://kremlin.ru/catalog/keywords/82/events/53851
,,"Новости, Анонсы",Внешняя политика,,25 января состоится встреча Владимира Путина с Королём Иордании Абдаллой II,http://kremlin.ru/catalog/keywords/82/events/53764
25 января 2017 года,"Москва, Кремль","Новости, Выступления и стенограммы",Внешняя политика,18:15,Встреча с Королём Иордании Абдаллой II,http://kremlin.ru/catalog/keywords/82/events/53776
